Platform,Campaign,Current Budget ,New budget if on (from 25 - 30),New budget for the next month (30 days),UPD 23.10
Google,BV / AI + Machine Learning / Traffic + Lead Gen / Search Ads,250,100,161,322
Google,BV / Low-code / Traffic + Lead Gen / Search Ads,200,100,161,0
Google,BV / Generic Campaign / Brand Awareness / Website traffic / Performance Max / Q-3 2025,150,100,161,161
,Total per day ,600,300,,
,Total per month,"Anticipated spend until the end of the month: 3000

18000",anticipated spend until the end of the month:  1500,483,
,Spent,"15,725.75",,"14490 (if 30 days)
14973 (if 31 days)",
,,,,,
,,,,,
Linkedin,"
BV I Retargeting I Convo Ads I 2025",0,70,70,70
,BV I Retargeting I Text Ads I 2025,0,70,70,70
,BV I Retargeting I Spotlight Ads I 2025,0,70,70,70
,BV I Awareness I Transport & Logistics I Text Ads I Traffic I 2025,0,70,70,0
,BV I Awareness I Swedish industries I Spotlight Ads I Traffic I 2025,0,73.05,73.05,73.05
,BV I Awareness I Public Sector I Spotlight Ads I Traffic I 2025,0,73.45,73.45,73.45
,BV I Awareness I Public Sector I Text Ads I Traffic I 2025,0,70,70,0
,BV I Awareness I Swedish Industries I Text Ads I Traffic I 2025,0,70,70,0
,BV I Awareness I Transport & Logistic I Spotlight Ads I Traffic I 2025,0,72.3,72.3,72.3
,BV I Awareness I Swedish industries I SI Ads I Traffic I 2025,300,70,70,140
,BV I Awareness I Public sector I SI Ads I Traffic I 2025,300,70,70,140
,BV I Awareness I Transport & logistics I SI Ads I Traffic I 2025,300,70,70,140
,Total per day ,900,848.8,848.8,
,Total per month,"Anticipated spend until the end of the month: 4500

27000 total 
",anticipated spend until the end of the month (5 days) :  4244,"25464 (if 30 days)
26312 (if 31 day)",
,Spent,"16,693.60",,,
,,,Total left: 7515,,
,,,,,
,,,,,
,,,,,
,current spend lands under the given budget (as of current settings on 25th of september),,,,
