campaign group name,campaign name,off/on,status,spent,lifetime budget,daily budget,start date,end date
BV / Nordcloud / Azure / Traffic,BV / Nordcloud / Azure / Traffic / SI / Azure Partner,On,Active,£933.31,—,£19.89,8/29/2025,12/15/2025
BV / Nordcloud / AWS / Traffic,BV / Nordcloud / AWS / Traffic / SI / AWS Partner,On,Active,£650.89,—,£14.68,8/29/2025,12/15/2025
BV / Nordcloud / Google Cloud / Traffic,BV / Nordcloud / Google Cloud / Traffic / SI / Google Cloud Partner,On,Active,£793.39,—,£30.00,8/29/2025,12/15/2025
BV / Nordcloud / Hybrid cloud /Traffic,BV / Nordcloud / Hybrid Cloud / Sovereign Cloud / Traffic,On,Active,"£1,077.51",—,£14.02,9/16/2025,12/15/2025
BV / Nordcloud / AWS / Traffic / 2 (Thought Leadership),BV / Nordcloud / AWS / Traffic / Thought Leadership / Michel Tardio,On,Active,£810.12,—,£11.94,9/17/2025,12/15/2025
Brand TOF 2023-2025 | Newsletter,BV SI | LG | Brand TOF | Newsletter | Retargeting | 2500,On,Active,£41.24,"£2,000.00",—,9/16/2025,12/31/2025
BV / Nordcloud / AWS / Leadgen,BV / Nordcloud / AWS / LeadGen / Sovereign Coud E-Guide,On,Active,"£1,930.44",—,£43.08,9/25/2025,12/15/2025
BV / Nordcloud / AWS / Leadgen,BV / Nordcloud / AWS VMware / Convo Ads / LeadGen,On,Active,"£1,736.25",—,£43.08,9/24/2025,12/15/2025
BV / Nordcloud / Hybrid cloud / LeadGen,BV / Nordcloud / Hybrid cloud / LeadGen / Sovereign Coud / E-Guide / Convo Ad,On,Active,£756.71,—,£18.92,10/7/2025,12/15/2025
BV / Nordcloud / AWS / Traffic,BV / Nordcloud / AWS / Traffic / SI / VMWare,On,Active,£223.73,—,£8.00,9/24/2025,12/15/2025
BV / Nordcloud / Google Cloud / Lead Gen,BV / Nordcloud / Google Cloud / Lead Gen / Migration Treasure Map,On,Active,"£2,873.85",—,£47.00,9/30/2025,12/15/2025
BV / Nordcloud / Azure / LeadGen,BV / Nordcloud / Azure Cloud / Lead Gen / Migration Treasure Map,On,Active,"£1,031.91",—,£19.89,10/1/2025,12/15/2025
BV | Nordcloud | Sweden | Public Sector | Webinar | LeadGen & Awareness,BV | Nordcloud | Sweden | Public Sector | Webinar | Awareness | SI ads,On,Active,£551.19,—,£31.25,10/29/2025,12/15/2025
BV | Nordcloud | Sweden | Public Sector | Webinar | LeadGen & Awareness,BV | Nordcloud | Sweden | Public Sector | Webinar | LeadGen | SI ads,On,Active,£579.79,—,£31.25,10/29/2025,12/15/2025
BV / Nordcloud / AGENTIC AI / Traffic,BV / Nordcloud / AGENTIC AI / Traffic / SI Ads /,On,Active,£164.96,—,£42.55,11/4/2025,12/20/2025
BV / Boosted Post N 1 / SE / Public Sector / Webinar H12025,BV / Boosted Post N 1 / SE / Public Sector / Webinar H12025,Off,Completed,—,"£1,000.00",—,5/28/2025,6/12/2025
BV / Boosted Post N 2 / SE / Public Sector / Webinar H12025,BV / Boosted Post N 2 / SE / Public Sector / Webinar H12025,Off,Completed,—,"£1,000.00",—,5/28/2025,6/12/2025
BV / Nordcloud / AGENTIC AI / Traffic,BV / Nordcloud / AGENTIC AI / Traffic / SI / EU AI Act Webinar,Off,Completed,"£1,451.70",—,£48.39,8/26/2025,9/24/2025
BV / Nordcloud / AGENTIC AI / Traffic,BV / Nordcloud / AGENTIC AI / Engagement / Thought Leadership / Sander Nieuwenhuis,Off,Completed,"£1,500.09",—,£48.39,8/25/2025,9/24/2025
BV / Nordcloud / Hybrid cloud /Traffic,BV / Nordcloud / Hybrid Cloud / Engagement / Thought Leadership / Jari Lietzen,Off,Completed,"£1,472.90",—,£26.78,9/3/2025,10/27/2025
BV / Nordcloud / Agentic AI / LeadGen,BV / Nordcloud / Agentic AI / LeadGen / EU AI Act Webinar,Off,Completed,£917.03,—,£125.00,9/16/2025,9/23/2025
BV / Nordcloud / Hybrid cloud / LeadGen,BV / Nordcloud / Hybrid cloud / LeadGen / Sovereign Coud / E-Guide,Off,Paused,£775.01,—,£18.92,9/16/2025,12/15/2025
BV / Nordcloud / Thought Leadership / Sander Nieuwenhuis,BV / Nordcloud / Thought Leadership / Sander Nieuwenhuis,Off,Draft,—,—,£8.00,8/25/2025,—
BV / Nordcloud / Agentic AI / LeadGen,BV / Nordcloud / Agentic AI / LeadGen / EU AI Act Webinar On Demand,Off,Draft,—,—,£200.00,11/12/2025,—
