campaign group name,campaign name,off/on,status,spent,average daily spend,daily budget,start date,end date
BV I DECERNO I Consideration I 2025,BV I DECERNO I Consideration I AI Roadmap Whitepaper I SI Ads I 2025,On,Active,494.28,3.32,70,11/20/2025,-
BV I DECERNO I Consideration I 2025,BV I Decerno I Consideration I AI Roadmap Whitepaper I Convo Ads I 2025,On,Active,507.05,3.4,70,11/20/2025,-
BV I DECERNO I Awareness I 2025,BV I Awareness I Swedish industries I SI Ads I Traffic I 2025,On,Active,"6,188.38",41.53,70,9/8/2025,-
BV I DECERNO I Awareness I 2025,BV I Awareness I Public sector I SI Ads I Traffic I 2025,On,Active,"7,233.45",48.55,70,9/8/2025,-
BV I DECERNO I Awareness I 2025,BV I Awareness I Transport & logistics I SI Ads I Traffic I 2025,On,Active,"5,950.38",39.94,70,9/8/2025,-
BV I DECERNO I Awareness I 2025,BV I Awareness I Swedish industries I Spotlight Ads I Traffic I 2025,On,Active,"4,377.82",29.38,73.05,9/25/2025,-
BV I DECERNO I Awareness I 2025,BV I Awareness I Public Sector I Spotlight Ads I Traffic I 2025,On,Active,"2,662.56",17.87,73.45,9/25/2025,-
BV I DECERNO I Awareness I 2025,BV I Awareness I Transport & Logistic I Spotlight Ads I Traffic I 2025,On,Active,"1,290.60",8.66,72.3,9/25/2025,-
BV I DECERNO I Awareness I 2025,BV I Awareness I AI Roadmap - Public Sector I SI Ads I Traffic I 2025,On,Active,0,0,70,11/18/2025,12/15/2025
BV I DECERNO I Awareness I 2025,BV I Awareness I Transport & Logistics I Text Ads I Traffic I 2025,Off,Paused,14,0.09,70,9/25/2025,-
BV I DECERNO I Awareness I 2025,BV I Awareness I Public Sector I Text Ads I Traffic I 2025,Off,Paused,31.2,0.21,70,9/25/2025,-
BV I DECERNO I Awareness I 2025,BV I Awareness I Swedish Industries I Text Ads I Traffic I 2025,Off,Paused,0,0,70,9/25/2025,-
BV I DECERNO I Retargeting I 2025,BV I Retargeting I Convo Ads I 2025,On,Active,"2,444.92",16.41,70,9/25/2025,12/31/2025
BV I DECERNO I Retargeting I 2025,BV I Retargeting I Text Ads I 2025,On,Active,136.11,0.91,70,9/25/2025,-
BV I DECERNO I Retargeting I 2025,BV I Retargeting I Spotlight Ads I 2025,On,Active,"1,600.20",10.74,70,9/25/2025,-
BV / Generic Campaign / Brand Awareness / Website traffic / Performance Max / Q-3 2025,,On,Active,"26,436.02",,161,-,
BV / AI Roadmap / Display / RDA,,On,Active,628.06,,70,-,
BV / AI + Machine Learning / Traffic + Lead Gen / Search Ads,,On,Active,"28,997.00",,252,-,
BV / Low-code / Traffic + Lead Gen / Search Ads,,Off,Paused,14791.12,,161,,
