Group,# Campaigns,Current Total (£),Spent (£),Remaining (£),Δ Realloc (£),New Total (£),New Remaining (£)
AWS / Traffic,2,"£5,000.00",£638.94,"£4,361.06","−£1,744.42","£3,255.58","£2,616.64"
AWS / Traffic / 2 / TL,1,"£1,500.00",£320.80,"£1,179.20",−£471.68,"£1,028.32",£707.52
AWS / LeadGen,2,"£5,000.00",£580.65,"£4,419.35","plus £2,216.11","£7,216.11","£6,635.46"
Azure / Traffic,1,"£2,761.66",£256.81,"£2,504.85","−£1,001.94","£1,759.72","£1,502.91"
Azure / LeadGen,1,"£2,761.00",£146.61,"£2,614.39","plus £1,001.94","£3,762.94","£3,616.33"
Google / Traffic,1,"£3,888.00",£110.67,"£3,777.33","−£1,510.93","£2,377.07","£2,266.40"
Google / LeadGen,1,"£3,888.71",£411.19,"£3,477.52","plus £1,510.93","£5,399.64","£4,988.45"
Hybrid / Traffic,2,"£3,000.00","£1,599.57","£1,400.43",−£560.17,"£2,439.83",£840.26
Hybrid / LeadGen,2,"£3,000.00",£407.20,"£2,592.80",plus £560.17,"£3,560.17","£3,152.97"
AgenticAI / Traffic (completed),2,"£3,000.00","£2,951.79",£48.21,£0.00,"£3,000.00",£48.21
AgenticAI / LeadGen (completed),1,"£3,000.00",£917.03,"£2,082.97",£0.00,"£3,000.00","£2,082.97"
