Campaign Group,Current Budget Allocation - Campaign Level,Current Budget Utilisation,Budget left,Daily Budget Old,Daily Budget New,New Budget Allocation - Campaign Level,
BV / Nordcloud / AWS / Traffic,5000,£638.94,"4,361",£26.57,34.62 (total incl TL),"£2,423.40 TOTAL including TL",1587.6 - just for AWS traffic + current spend of 638 = 2 225
BV / Nordcloud / AWS / Traffic / 2 (Thought Leadership),1500 (out of 5000),£321,"1,179",,,,
total left,,,4039,,,,
,,,,,,,
By campaigns,,,,,,,
BV / Nordcloud / AWS / Traffic / SI / AWS Partner,,£478.46,,£18.57,14.68,,
BV / Nordcloud / AWS / Traffic / SI / VMWare,,£160.48,,	£8.00,8,,
,,,,,,,
BV / Nordcloud / AWS / Traffic / Thought Leadership / Michel Tardio,,£321,,£14.00,11.94,835.8,1158( new allocation + current spend)
,,,,,,,
,,,,,,,
BV / Nordcloud / AWS / Leadgen,5000,£583.38,4416,£40.66,86.17,6031.6,
BV / Nordcloud / AWS / LeadGen / Sovereign Coud E-Guide,,£300.07,,	£20.33,43.08,,
BV / Nordcloud / AWS VMware / Convo Ads / LeadGen,,£283.30,,£20.33,43.08,,
