campaign group name,campaign name,off/on,status,spent,average daily spend,daily budget,start date,end date,,,
AO | General Funnel | Decision,DA | LG | Migration Services | Retarget + JTit / JSen 58000,Off,Paused,871.02,6.4,30.00,5/27/2025,—,,,
AO | General Funnel | Decision,ConvoAds | LG | BV Data + AI: Business | Retarget - Data & AI + Jfun/ JSen 200000,Off,Paused,870.96,6.4,15.00,6/3/2025,—,,,
AO | General Funnel | Decision,Convo Ads | LG | BV Data + AI: Technical | Retarget - Data & AI + Jfun/ JSen 600000,Off,Paused,868.52,6.39,15.00,6/3/2025,—,"2,610.50",,
,,,,,,,,,,,
AO | General Funnel | Consideration,SI | WV | Managed Services | Consideration | TAL + Skill | 58000,Off,Paused,"1,609.04",11.83,30.00,4/3/2025,—,,,
AO | General Funnel | Consideration,SI | WV | Migration Services | Consideration | All Markets + Con + Skill,Off,Paused,"1,595.02",27.03,30.00,4/23/2025,—,,,
AO | General Funnel | Consideration,DA| LG | GOOGLE + INFRA | Consideration Brightvision |,Off,Paused,194.58,1.43,30.00,5/7/2025,—,,,
AO | General Funnel | Consideration,DA | LG | AWS | Consideration Brightvision | AWS/Cns/Mrkts/TAL/Aw/Sen | 49000,Off,Paused,192.92,1.42,30.00,5/7/2025,—,,,
AO | General Funnel | Consideration,DA| LG | AZURE + INFRA | Consideration Brightvision | AZUR/Cns/Mrkts/TAL/Aw/Sen/30000,Off,Paused,246.35,1.81,38.00,5/7/2025,—,"3,837.91",,
,,,,,,,,,,,
AO | General Funnel | Awareness,SI | WV | AWS Partner | Intent | ICP + JFun + JSen | 24000,Off,Paused,"1,715.82",12.62,50.00,2/5/2024,—,,,
AO | General Funnel | Awareness,SI | WV | Azure Partner | Intent | ICP + JFun + JSen | 48000,Off,Paused,"2,976.69",21.89,55.00,2/5/2024,—,,,
AO | General Funnel | Awareness,SI | WV | Google Cloud Partner | Intent | ICP + JFun + JSen | 61000,Off,Paused,"3,222.58",23.7,55.00,2/5/2024,—,,,
AO | General Funnel | Awareness,SI | WV | CJ2 | brightvision awareness | 14000,Off,Paused,933.58,6.86,20.00,2/17/2025,—,,,
AO | General Funnel | Awareness,SI | WV | Managed Services | BV Awareness | ICP+JFun | 150.000,Off,Paused,"1,185.97",8.72,25.00,4/2/2025,—,,,
AO | General Funnel | Awareness,SI | WV | Migration Services | BV Awareness | Markets+BG | 170.000,Off,Paused,"1,444.89",10.62,25.00,4/2/2025,—,"11,479.53",11920 should be,18 369 total
,,,,,,,,,,,
