campaign group name,campaign name,off/on,status,spent,average daily spend,daily budget (campaign level),start date,end date,campaign group total spent
AO | General Funnel | Decision,DA | LG | Migration Services | Retarget + JTit / JSen 58000,Off,Paused,871.02,5.18,30,5/27/2025,—,
AO | General Funnel | Decision,ConvoAds | LG | BV Data + AI: Business | Retarget - Data & AI + Jfun/ JSen 200000,Off,Paused,870.96,5.18,15,6/3/2025,—,
AO | General Funnel | Decision,Convo Ads | LG | BV Data + AI: Technical | Retarget - Data & AI + Jfun/ JSen 600000,Off,Paused,868.52,5.17,15,6/3/2025,—,"2,610.50"
AO | General Funnel | Consideration,SI | WV | Managed Services | Consideration | TAL + Skill | 58000,Off,Paused,"1,609.04",9.58,30,4/3/2025,—,
AO | General Funnel | Consideration,SI | WV | Migration Services | Consideration | All Markets + Con + Skill,Off,Paused,"1,595.02",9.49,30,4/23/2025,—,
AO | General Funnel | Consideration,DA| LG | GOOGLE + INFRA | Consideration Brightvision |,Off,Paused,194.58,1.16,30,5/7/2025,—,
AO | General Funnel | Consideration,DA | LG | AWS | Consideration Brightvision | AWS/Cns/Mrkts/TAL/Aw/Sen | 49000,Off,Paused,192.92,1.15,30,5/7/2025,—,
AO | General Funnel | Consideration,DA| LG | AZURE + INFRA | Consideration Brightvision | AZUR/Cns/Mrkts/TAL/Aw/Sen/30000,Off,Paused,246.35,1.47,38,5/7/2025,—,"3,837.91"
AO | General Funnel | Awareness,SI | WV | AWS Partner | Intent | ICP + JFun + JSen | 24000,Off,Paused,"1,715.82",10.21,50,2/5/2024,—,
AO | General Funnel | Awareness,SI | WV | Azure Partner | Intent | ICP + JFun + JSen | 48000,Off,Paused,"2,976.69",17.72,55,2/5/2024,—,
AO | General Funnel | Awareness,SI | WV | Google Cloud Partner | Intent | ICP + JFun + JSen | 61000,Off,Paused,"3,222.58",19.18,55,2/5/2024,—,
AO | General Funnel | Awareness,SI | WV | CJ2 | brightvision awareness | 14000,Off,Paused,933.58,5.56,20,2/17/2025,—,
AO | General Funnel | Awareness,SI | WV | Managed Services | BV Awareness | ICP+JFun | 150.000,Off,Paused,"1,185.97",7.06,25,4/2/2025,—,
AO | General Funnel | Awareness,SI | WV | Migration Services | BV Awareness | Markets+BG | 170.000,Off,Paused,"1,444.89",8.6,25,4/2/2025,—,
AO | General Funnel | Awareness,DE-EV-AWS-250708-AWS-Summit-Recap-Germany,Off,Paused,440.73,2.62,50,7/1/2025,—,"11,920.26"
